date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:14	79/79	---MCZ	200	added ('OK')	text/plain	etag:W/%226230b539-65%22	https://soap2day-online.com/robots.txt		(from )
16:47:15	60021/60021	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2011:17:10%20GMT	https://soap2day-online.com/	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/index.html	(from )
16:47:15	2530/2530	---M--	200	added ('OK')	image/png	etag:%22638f7187-9e2%22	https://soap2day-online.com/wp-content/uploads/favicon.png	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/uploads/favicon.png	(from https://soap2day-online.com/)
16:47:15	128398/128398	---MCZ	200	added ('OK')	text/css	etag:W/%225e21851d-1f58e%22	https://soap2day-online.com/wp-content/themes/PsyPlay/css/bootstrap.min.css?v=0.1	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/css/bootstrap.min7e0c.css	(from https://soap2day-online.com/)
16:47:16	60021/60021	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2011:17:15%20GMT	https://soap2day-online.com/?	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/indexd41d.html	(from https://soap2day-online.com/)
16:47:16	116242/116242	---MCZ	200	added ('OK')	text/css	etag:W/%226230b1fa-1caee%22	https://soap2day-online.com/wp-content/themes/PsyPlay/css/main.css?ver=1.2.7.3	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/css/main01c0.css	(from https://soap2day-online.com/)
16:47:16	3985/3985	---MCZ	200	added ('OK')	text/css	etag:W/%225e21851f-f93%22	https://soap2day-online.com/wp-content/themes/PsyPlay/css/jquery.cluetip.css?ver=1.2.7	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/css/jquery.cluetip4281.css	(from https://soap2day-online.com/)
16:47:16	8913/8913	---MCZ	200	added ('OK')	text/css	etag:W/%225e218520-22d1%22	https://soap2day-online.com/wp-content/themes/PsyPlay/css/jquery.qtip.min.css?ver=1.2.7	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/css/jquery.qtip.min4281.css	(from https://soap2day-online.com/)
16:47:16	17419/17419	---MCZ	200	added ('OK')	text/css	etag:W/%226230b181-4baf%22	https://soap2day-online.com/wp-content/themes/PsyPlay/css/custom.css?ver=1.2.7.22	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/css/custom4584.css	(from https://soap2day-online.com/)
16:47:16	14348/14348	---MCZ	200	added ('OK')	text/css	etag:W/%225e218523-3822%22	https://soap2day-online.com/wp-content/themes/PsyPlay/css/slide.css?ver=1.2.7	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/css/slide4281.css	(from https://soap2day-online.com/)
16:47:17	306/306	---MCZ	200	added ('OK')	text/css	etag:W/%22631f3f35-549%22	https://soap2day-online.com/wp-content/plugins/wp-postratings/css/postratings-css.css?ver=1.90	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/plugins/wp-postratings/css/postratings-css096b.css	(from https://soap2day-online.com/)
16:47:17	438/438	---MCZ	200	added ('OK')	text/css	etag:W/%226389ebae-688%22	https://soap2day-online.com/wp-content/plugins/wordpress-popular-posts/assets/css/wpp.css?ver=6.1.1	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/plugins/wordpress-popular-posts/assets/css/wpp6a4d.css	(from https://soap2day-online.com/)
16:47:17	587/587	---MCZ	200	added ('OK')	text/css	etag:W/%22628ddaa6-24b%22	https://soap2day-online.com/wp-content/plugins/addthis/frontend/build/addthis_wordpress_public.min.css?ver=6.1.1	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/plugins/addthis/frontend/build/addthis_wordpress_public.min6a4d.css	(from https://soap2day-online.com/)
16:47:17	3031/3031	---MCZ	200	added ('OK')	application/javascript	etag:W/%226389ebae-bd7%22	https://soap2day-online.com/wp-content/plugins/wordpress-popular-posts/assets/js/wpp.min.js?ver=6.1.1	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/plugins/wordpress-popular-posts/assets/js/wpp.min6a4d.js	(from https://soap2day-online.com/)
16:47:17	1001/1001	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e21862a-3e9%22	https://soap2day-online.com/wp-content/themes/PsyPlay/js/simple-likes-public.js?ver=0.5	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/js/simple-likes-public6a79.js	(from https://soap2day-online.com/)
16:47:18	3277/3277	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e218626-ccd%22	https://soap2day-online.com/wp-content/themes/PsyPlay/js/jquery.lazyload.js?ver=1.2.7	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/js/jquery.lazyload4281.js	(from https://soap2day-online.com/)
16:47:18	44296/44296	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e218627-ad08%22	https://soap2day-online.com/wp-content/themes/PsyPlay/js/jquery.qtip.min.js?ver=1.2.7	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/js/jquery.qtip.min4281.js	(from https://soap2day-online.com/)
16:47:18	1945/1945	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e218625-799%22	https://soap2day-online.com/wp-content/themes/PsyPlay/js/jquery.cookie.js?ver=1.2.7	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/js/jquery.cookie4281.js	(from https://soap2day-online.com/)
16:47:18	2211/2211	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e218623-8a3%22	https://soap2day-online.com/wp-content/themes/PsyPlay/js/detectmobilebrowser.js?ver=1.2.7s	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/js/detectmobilebrowser0378.js	(from https://soap2day-online.com/)
16:47:18	2938/2938	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e218629-b7a%22	https://soap2day-online.com/wp-content/themes/PsyPlay/js/psyplay.custom.min.js?ver=1.2.7	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/js/psyplay.custom.min4281.js	(from https://soap2day-online.com/)
16:47:19	1984/1984	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e218625-7c0%22	https://soap2day-online.com/wp-content/themes/PsyPlay/js/jquery.idTabs.min.js?ver=1.2.7	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/js/jquery.idTabs.min4281.js	(from https://soap2day-online.com/)
16:47:19	23936/23936	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e218628-5d80%22	https://soap2day-online.com/wp-content/themes/PsyPlay/js/owl.carousel.js?ver=1.2.7	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/js/owl.carousel4281.js	(from https://soap2day-online.com/)
16:47:19	8159/8159	---M--	200	added ('OK')	image/png	etag:%2262289d6d-1fdf%22	https://soap2day-online.com/wp-content/uploads/soap2day-online-logo2.png	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/uploads/soap2day-online-logo2.png	(from https://soap2day-online.com/)
16:47:19	6331/6331	---M--	200	added ('OK')	image/png	etag:%226230df07-18bb%22	https://soap2day-online.com/wp-content/themes/PsyPlay/images/btn-overlay-blue.png	C:/My%20Web%20Sites/soap2day-online/soap2day-online.com/wp-content/themes/PsyPlay/images/btn-overlay-blue.png	(from https://soap2day-online.com/)
